year_month,arch,num_questions
2019-07-01,MVVM,1
2019-08-01,MVVM,1
2019-09-01,MVVM,3
2019-10-01,MVVM,4
2019-10-01,MVC,1
2019-11-01,MVC,1
2019-11-01,MVVM,1
2019-12-01,MVVM,2
2019-12-01,VIPER,1
2020-01-01,MVVM,4
2020-02-01,MVVM,1
2020-03-01,MVVM,3
2020-04-01,MVVM,6
2020-04-01,MVVM-C,2
2020-04-01,MVC,1
2020-04-01,VIPER,1
2020-05-01,MVVM,5
2020-06-01,MVVM,10
2020-06-01,MVC,1
2020-07-01,MVVM,12
2020-08-01,MVVM,5
2020-08-01,MVVM-C,1
2020-08-01,VIPER,1
2020-09-01,MVVM,11
2020-10-01,MVVM,5
2020-10-01,MVP,2
2020-11-01,MVVM,2
2020-12-01,MVVM,8
2021-01-01,MVVM,8
2021-02-01,MVVM,6
2021-03-01,MVVM,8
2021-03-01,MVC,1
2021-04-01,MVVM,7
2021-05-01,MVVM,7
2021-06-01,MVVM,3
2021-07-01,MVVM,10
2021-07-01,MVP,1
2021-07-01,TCA,1
2021-08-01,MVVM,5
2021-08-01,MV,1
2021-09-01,MVVM,5
2021-10-01,MVVM,3
2021-10-01,MVC,1
2021-11-01,MVVM,6
2021-12-01,MVVM,3
2021-12-01,VIPER,2
2022-01-01,MVVM,5
2022-02-01,MVVM,6
2022-02-01,MVP,1
2022-03-01,MVVM,5
2022-03-01,MVI,1
2022-04-01,MVVM,7
2022-04-01,MV,1
2022-04-01,TCA,1
2022-05-01,MVVM,1
2022-06-01,MVVM,1
2022-07-01,MVVM,1
2022-08-01,MVVM,5
2022-08-01,TCA,1
2022-09-01,MVVM,6
2022-10-01,MVVM,10
2022-10-01,MVC,1
2022-10-01,TCA,1
2022-10-01,VIPER,1
2022-11-01,MVVM,7
2022-12-01,MVVM,4
2023-01-01,MVVM,1
2023-02-01,MVVM,4
2023-02-01,MV,1
2023-03-01,MVVM,5
2023-04-01,MVVM,1
2023-04-01,VIPER,1
2023-05-01,MVVM,1
2023-06-01,MVVM,6
2023-06-01,TCA,2
2023-06-01,MVC,1
2023-07-01,MVVM,2
2023-08-01,MVVM,4
2023-08-01,MVP,1
2023-09-01,MVVM,1
2023-10-01,MVVM,4
2023-11-01,MVP,2
2023-11-01,MVVM,2
2023-11-01,TCA,1
2023-12-01,MVVM,2
2024-03-01,MVVM,2
2024-05-01,MVVM,1
2024-05-01,TCA,1
2024-07-01,MVVM,2
2024-08-01,MVVM,2
2024-09-01,MVVM,1
2024-09-01,TCA,1
2024-10-01,MVVM,1
2024-12-01,MVVM,2
2025-03-01,MVVM,1
2025-03-01,TCA,1
2025-05-01,MVVM,2
2025-08-01,MVVM,1
2026-04-01,TCA,1
